pid, gender, rank, rank_s, rank_cj, name, born, nation, category, bweight, snatch1, snatch2, snatch3, snatch, jerk1, jerk2, jerk3, jerk, total, event, date
25, w, 3, 1, 3, LOBON VIAFARA Maria Camila, 30.09.1995, COL, 59, 58.75, *95, 95, *98, 95, 116, *121, *121, 116, 211, IberoAmerican Championships, 05.2019
26, w, 4, 5, 5, ULLUA Tatiana, 23.04.1992, ARG, 59, 58.95, *87, 87, *90, 87, 103, *106, 106, 106, 193, IberoAmerican Championships, 05.2019
27, w, 5, 6, 4, MEGO CONTRERAS Shoely Mabel, 12.08.1999, PER, 59, 57.35, 77, 80, 82, 82, 107, 110, *113, 110, 192, IberoAmerican Championships, 05.2019
28, w, 6, 7, 6, BUITRON VICTORIA Luz Winner, 30.11.2003, PER, 59, 58.20, 63, *67, *67, 63, 83, 87, *90, 87, 150, IberoAmerican Championships, 05.2019
29, w, , 4, , MORALES DEL AGUILA Rosalba Estela, 14.11.1998, COL, 59, 59.00, 90, *93, 93, 93, *119, *119, *119, , 0, IberoAmerican Championships, 05.2019
30, m, 1, 1, 1, SERNA MENDOZA Jhon Jairo, 03.12.1994, COL, 61, 60.65, 120, *125, 126, 126, 157, *165, 165, 165, 291, IberoAmerican Championships, 05.2019
31, m, 2, 2, 2, BRACHI GARCIA Josue, 08.09.1992, ESP, 61, 60.85, 122, 125, *127, 125, 145, 148, *151, 148, 273, IberoAmerican Championships, 05.2019
32, m, 3, 4, 3, ROJAS CONCHA Marcos Antonio, 02.06.1995, PER, 61, 60.60, 105, 109, 112, 112, 140, 145, 148, 148, 260, IberoAmerican Championships, 05.2019
33, m, 4, 3, 4, ZURITA VALLEJO Cristhian David, 10.02.1998, ECU, 61, 60.35, 113, 118, *122, 118, 132, *140, 141, 141, 259, IberoAmerican Championships, 05.2019
34, m, 5, 5, 5, GUZMAN PEREZ Bryan Gilberto, 30.11.1997, PUR, 61, 59.80, 103, *108, *109, 103, *135, *137, 137, 137, 240, IberoAmerican Championships, 05.2019
35, m, 6, 6, 6, OLMEDO ALVAREZ Ruben Alexis, 22.03.1984, PUR, 61, 60.75, 102, *107, *107, 102, *120, 120, *130, 120, 222, IberoAmerican Championships, 05.2019
36, w, 1, 1, 3, LLAMOSA MOSQUERA Nathalia, 14.06.1997, COL, 64, 63.65, 98, 101, *103, 101, 120, *123, , 120, 221, IberoAmerican Championships, 05.2019
37, w, 2, 4, 1, RODRIGUEZ MITJAN Marina De La Caridad, 02.03.1995, CUB, 64, 63.90, 90, 95, *98, 95, 118, 122, 125, 125, 220, IberoAmerican Championships, 05.2019
38, w, 3, 2, 2, PEREA MURILLO Sandra Milena, 29.07.1992, COL, 64, 63.85, 94, 97, *100, 97, *122, *122, 122, 122, 219, IberoAmerican Championships, 05.2019
39, w, 4, 3, 4, NAZARENO PERALTA Yadira Maria, 29.05.1996, ECU, 64, 63.05, *95, *96, 96, 96, *115, 115, 116, 116, 212, IberoAmerican Championships, 05.2019
40, w, 5, 5, 6, PAREDES VASQUEZ Eldi Jhasmin, 04.08.2000, PER, 64, 63.35, 80, *84, 84, 84, *105, 105, 110, 110, 194, IberoAmerican Championships, 05.2019
41, w, 6, 6, 7, CARDENAS QUIROZ Angie Nikelly, 28.01.1994, PER, 64, 62.85, 78, 81, *84, 81, 105, 109, *114, 109, 190, IberoAmerican Championships, 05.2019
42, w, , , 5, REYES RAMOS Flavia Marie, 28.12.1991, PUR, 64, 63.40, *85, *85, *85, , *110, 110, *116, 110, 0, IberoAmerican Championships, 05.2019
43, w, , 7, , PORTELA MILICHIO Mercedes Noemi, 25.03.1987, URU, 64, 62.75, *73, 73, *77, 73, *95, *95, *95, , 0, IberoAmerican Championships, 05.2019
44, m, 1, 2, 1, HIGUITA BARRERA Luis Fernando, 10.01.1997, COL, 67, 66.65, 127, 131, *134, 131, *162, 165, *170, 165, 296, IberoAmerican Championships, 05.2019
45, m, 2, 1, 3, ESCALONA MORENO Kervis Eidy, 15.10.1998, VEN, 67, 66.65, 128, *132, 134, 134, 160, *165, *166, 160, 294, IberoAmerican Championships, 05.2019
46, m, 3, 3, 2, BARDALEZ TUISIMA Luis David, 03.10.1995, PER, 67, 66.35, 122, *126, 126, 122, 152, 157, 161, 161, 283, IberoAmerican Championships, 05.2019
47, m, 4, 5, 4, MARTINEZ LOPEZ Juan Camilo, 18.03.2001, COL, 67, 66.70, 119, *122, *125, 119, 150, 155, *158, 155, 274, IberoAmerican Championships, 05.2019
48, m, 5, 4, 5, CALABRO Mariano Agustin, 25.04.1996, ARG, 67, 66.40, 115, 120, *123, 120, 145, 150, *153, 150, 270, IberoAmerican Championships, 05.2019
49, m, , , , PRECIADO REYES Miguel Angel, 03.11.1994, PER, 67, 67.00, *116, *116, *116, , , , , , 0, IberoAmerican Championships, 05.2019
50, w, 1, 1, 1, PEREZ TIGRERO Mercedes Isabel, 07.08.1987, COL, 71, 65.05, 97, 100, 104, 104, *122, 122, *130, 122, 226, IberoAmerican Championships, 05.2019
51, w, 2, 4, 2, VALLE ULLOA Constanza Isabel, 25.04.1996, CHI, 71, 67.90, 78, 82, 86, 86, 100, 104, *107, 104, 190, IberoAmerican Championships, 05.2019
52, w, 3, 3, 4, ANDALEN Sepulveda, 19.10.1996, CHI, 71, 69.15, 80, 83, 87, 87, *100, 100, *105, 100, 187, IberoAmerican Championships, 05.2019
53, w, 4, 5, 3, LOPEZ RODRIGUEZ Kidaisha, 03.01.1993, PUR, 71, 69.80, 80, *83, *84, 80, 99, 102, *105, 102, 182, IberoAmerican Championships, 05.2019
54, w, , 2, , COOPER Kaitlyn Dawn, 19.01.1998, USA, 71, 70.55, 90, 93, *96, 93, *115, *118, *118, , 0, IberoAmerican Championships, 05.2019
55, m, 1, 2, 1, MAYORA PERNIA Julio Ruben, 02.09.1996, VEN, 73, 72.45, 148, *151, *154, 148, 181, 190, *193, 190, 338, IberoAmerican Championships, 05.2019
56, m, 2, 1, 2, MOSQUERA LOZANO Luis Javier, 27.03.1995, COL, 73, 72.35, 145, 150, *154, 150, *175, 175, *180, 175, 325, IberoAmerican Championships, 05.2019
57, m, 3, 3, 3, SANCHEZ LOPEZ David, 20.07.1994, ESP, 73, 73.00, 138, 142, *145, 142, 170, *175, 175, 175, 317, IberoAmerican Championships, 05.2019
58, m, 4, 4, 7, SANDOVAL PARRAS Kevin David, 23.10.1999, COL, 73, 72.40, 133, 135, 140, 140, *161, 161, *164, 161, 301, IberoAmerican Championships, 05.2019
59, m, 5, 5, 4, GROEHLER Mason Christian, 12.06.1997, USA, 73, 73.00, *132, 132, *136, 132, 165, *171, *171, 165, 297, IberoAmerican Championships, 05.2019
60, m, 6, 6, 5, TERRONES MIRANDA Oscar Adrian, 23.01.1998, PER, 73, 72.15, 130, *133, *134, 130, 160, 163, *166, 163, 293, IberoAmerican Championships, 05.2019
61, m, 7, 7, 6, YOHAMONA LEON Pedro Luis, 02.07.1998, PER, 73, 72.10, 126, 130, *133, 130, 155, 161, *164, 161, 291, IberoAmerican Championships, 05.2019
62, m, 8, 8, 8, SOTO MONTECINO Eduardo Alexis, 25.03.1995, CHI, 73, 72.55, *120, *120, 121, 121, 148, 153, 158, 158, 279, IberoAmerican Championships, 05.2019
63, w, 1, 1, 2, RIVAS MOSQUERA Valeria, 23.04.2000, COL, 76, 75.70, *100, 100, *103, 100, 123, 126, *130, 126, 226, IberoAmerican Championships, 05.2019
64, w, 2, 2, 3, MERINO TORANZO Yaneysi, 18.11.1997, CUB, 76, 75.65, 91, 95, 98, 98, 120, 125, *129, 125, 223, IberoAmerican Championships, 05.2019
65, w, 3, 3, 4, WOHLERS Tiffany, 19.03.1991, USA, 76, 75.75, *93, *93, 93, 93, 113, 118, 123, 123, 216, IberoAmerican Championships, 05.2019
66, w, 4, 4, 5, ROJAS CASTILLO Lenka Yanara, 13.03.1997, CHI, 76, 72.65, 84, 87, 91, 91, 106, 109, 114, 114, 205, IberoAmerican Championships, 05.2019
67, w, 5, 5, 6, SALDARRIAGA DIOSES Estrella Belen, 11.01.2003, PER, 76, 74.90, 83, *86, 86, 86, 105, 108, *111, 108, 194, IberoAmerican Championships, 05.2019
68, w, 6, 6, 7, MARRERO PAGAN Krystal Desiree, 06.06.1996, PUR, 76, 74.75, *70, *70, 70, 70, *80, 80, 86, 86, 156, IberoAmerican Championships, 05.2019
69, w, , , 1, ALWINE Meredith Leigh, 08.06.1998, USA, 76, 74.05, *101, *101, *103, , *127, 128, 131, 131, 0, IberoAmerican Championships, 05.2019
70, m, 1, 1, 1, MATA PEREZ Andres Eduardo, 11.11.1992, ESP, 81, 80.85, 150, *154, 154, 154, 184, 189, 192, 192, 346, IberoAmerican Championships, 05.2019
71, w, 1, 1, 1, CHIRINOS LEON Dayana Aracelis, 04.10.1991, VEN, 81, 78.05, 100, 103, 105, 105, 126, *131, 131, 131, 236, IberoAmerican Championships, 05.2019
72, m, 2, 2, 2, ANDICA ANDICA Yony Alexander, 26.08.1987, COL, 81, 80.75, 148, 151, *153, 151, *185, 185, *191, 185, 336, IberoAmerican Championships, 05.2019
73, w, 2, 2, 2, MINA TORRES Dayana Lucia, 02.04.1998, ECU, 81, 80.75, 95, 101, *105, 101, *125, 125, *127, 125, 226, IberoAmerican Championships, 05.2019
74, m, 3, 5, 3, HERNANDEZ MARTINEZ Alexander, 28.01.1990, PUR, 81, 81.00, *143, 143, *147, 143, 184, *189, *190, 184, 327, IberoAmerican Championships, 05.2019
75, m, 4, 3, 5, LA O GARCIA Addriel, 10.02.1992, CUB, 81, 79.85, *145, 145, 150, 150, 175, *180, *180, 175, 325, IberoAmerican Championships, 05.2019
76, m, 5, 4, 4, CASTRO PALMA Darvin Jesus, 11.06.1995, VEN, 81, 78.15, *145, *145, 145, 145, 180, *185, *185, 180, 325, IberoAmerican Championships, 05.2019
77, m, 6, 6, 6, ATENCIA PRIOU Amel Karim, 18.02.2002, PER, 81, 80.35, 120, 125, 131, 131, 153, 158, *163, 158, 289, IberoAmerican Championships, 05.2019
78, m, 7, 9, 7, VILLEGAS FERNANDEZ Santiago Daniel, 17.06.2001, PER, 81, 73.70, 117, *122, *122, 117, 150, 156, *159, 156, 273, IberoAmerican Championships, 05.2019
79, m, 8, 7, 9, GALEANO Ariel, 18.10.1995, ARG, 81, 79.85, 115, 121, 126, 126, *145, 145, *155, 145, 271, IberoAmerican Championships, 05.2019
80, m, 9, 8, 8, BORGET Jose Carlos, 11.04.1996, ARG, 81, 80.25, 120, *125, *127, 120, *150, 150, *155, 150, 270, IberoAmerican Championships, 05.2019
81, m, 10, 10, 10, BONNAT MICHEL Zacarias, 27.02.1996, DOM, 81, 79.95, 100, , , 100, 120, , , 120, 220, IberoAmerican Championships, 05.2019
82, w, 1, 1, 1, SANTANA PEGUERO Crismery Dominga, 20.04.1995, DOM, 87, 86.25, 106, 109, *111, 109, 133, 138, 141, 141, 250, IberoAmerican Championships, 05.2019
83, w, 2, 4, 2, SALAZAR ARCE Tamara Yajaira, 09.08.1997, ECU, 87, 82.90, 100, 105, *108, 105, 135, 139, *142, 139, 244, IberoAmerican Championships, 05.2019
84, w, 3, 2, 4, PEREZ REVERON Naryury Alexandra, 29.09.1992, VEN, 87, 86.70, *105, 105, 108, 108, 132, *136, *136, 132, 240, IberoAmerican Championships, 05.2019
85, w, 4, 3, 3, KLINGSEIS Marissa Eileen, 07.06.1995, USA, 87, 87.00, 103, 107, *110, 107, 132, *137, *139, 132, 239, IberoAmerican Championships, 05.2019
86, w, 5, 5, 5, ANTONIA FERREIRA Jaqueline, 05.03.1987, BRA, 87, 86.00, *95, 95, *101, 95, 115, 120, 125, 125, 220, IberoAmerican Championships, 05.2019
87, w, 6, 6, 7, CASTRO ABAD Angie Milagritos, 02.09.2001, PER, 87, 85.20, *80, 80, 84, 84, 106, 111, 114, 114, 198, IberoAmerican Championships, 05.2019
88, w, , , 6, RODRIGUEZ MIRANDA Keyshla Ivette, 15.11.1991, PUR, 87, 85.95, *95, *96, *96, , 115, 120, *126, 120, 0, IberoAmerican Championships, 05.2019
89, m, 1, 1, 2, VALLENILLA SANCHEZ Keydomar Giovanni, 08.10.1999, VEN, 89, 88.70, 157, 161, *164, 161, 194, *197, *199, 194, 355, IberoAmerican Championships, 05.2019
90, m, 2, 2, 1, BETANCUR MANCILLA Diego Fernando, 15.06.1994, COL, 89, 84.35, 152, 157, *162, 157, 192, 196, *200, 196, 353, IberoAmerican Championships, 05.2019
91, m, 3, 4, 3, KIENITZ Maximiliano Claus, 04.09.1990, ARG, 89, 88.85, 148, *152, *152, 148, 175, 179, 184, 184, 332, IberoAmerican Championships, 05.2019
92, m, 4, 3, 4, FERREIRA DA SILVA Josue Lucas, 07.08.1992, BRA, 89, 88.25, 145, 150, *153, 150, 172, 176, *180, 176, 326, IberoAmerican Championships, 05.2019
93, m, 1, 1, 1, LUNA MARIN Angel Jose, 13.10.1994, VEN, 96, 91.55, 162, 168, 171, 171, 202, 210, *213, 210, 381, IberoAmerican Championships, 05.2019
94, m, 2, 2, 3, VELI Serafim, 28.11.1986, BRA, 96, 94.80, 160, 166, *170, 166, 190, *195, 196, 196, 362, IberoAmerican Championships, 05.2019
95, m, 3, 5, 2, SAEZ VERA Olfides, 24.09.1994, CUB, 96, 89.90, 150, 155, *158, 155, *190, 190, 197, 197, 352, IberoAmerican Championships, 05.2019
96, m, 4, 4, 4, CONTRERAS CHAMORRO Wilmer Eduardo, 13.06.1991, ECU, 96, 95.40, *152, 155, 159, 159, 191, *195, *196, 191, 350, IberoAmerican Championships, 05.2019
97, m, 5, 3, 5, GREGORIO MACHADO Marco Tulio, 03.11.1991, BRA, 96, 92.25, 160, *166, *167, 160, *185, 185, *192, 185, 345, IberoAmerican Championships, 05.2019
98, m, 1, 2, 1, ARIAS MOSQUERA Jeyson Alonso, 09.09.1993, VEN, 102, 97.40, 152, 156, *158, 156, *197, 197, 205, 205, 361, IberoAmerican Championships, 05.2019
99, m, 2, 1, 2, FERRIN ARROYO Paul Alexander, 20.10.1995, ECU, 102, 97.85, *150, 152, 157, 157, *190, 190, *195, 190, 347, IberoAmerican Championships, 05.2019
100, m, 3, 3, 3, SANGUINO MATAMOROS Jhohan David, 01.12.1998, VEN, 102, 96.30, *150, 150, 155, 155, *186, 186, *193, 186, 341, IberoAmerican Championships, 05.2019
101, m, 4, 5, 4, SOLITO Alejo Gaston, 19.05.1994, ARG, 102, 96.75, 110, , , 110, 120, *163, , 120, 230, IberoAmerican Championships, 05.2019
102, m, , 4, , PICUN ROUX Diego Emiliano, 23.11.1994, URU, 102, 100.50, 130, *140, *140, 130, *163, *163, , , 0, IberoAmerican Championships, 05.2019
103, m, 1, 3, 1, GONZALEZ BARRIOS Jesus Abrahan, 22.04.1991, VEN, 109, 107.00, *170, 170, *175, 170, 205, 210, *215, 210, 380, IberoAmerican Championships, 05.2019
104, m, 2, 2, 2, COLUMBIE SANAME Juan, 24.01.1995, CUB, 109, 106.50, 165, 170, *175, 170, 196, 201, 205, 205, 375, IberoAmerican Championships, 05.2019
105, m, 3, 1, 4, ARROYO VALDEZ Jorge David, 23.09.1991, ECU, 109, 108.90, *171, 173, 178, 178, 190, 196, *200, 196, 374, IberoAmerican Championships, 05.2019
106, m, 4, 4, 4, VIERA ESPINOZA Hernan Moises, 16.01.1993, PER, 109, 104.85, 130, 140, 146, 146, 185, *190, *195, 185, 331, IberoAmerican Championships, 05.2019
107, w, 1, 2, 1, AYOVI CABEZAS Lisseth Betzaida, 07.08.1998, ECU, p87, 125.35, 105, 110, 117, 117, 137, 141, 145, 145, 262, IberoAmerican Championships, 05.2019
108, w, 2, 1, 2, SALADIN TOLENTINO Veronica Estela, 21.05.1992, DOM, p87, 129.35, 110, 116, 118, 118, 138, 142, *146, 142, 260, IberoAmerican Championships, 05.2019
109, w, 3, 3, 3, ESPINOSA Yaniuska Isabel, 05.12.1986, VEN, p87, 111.50, 100, 106, 108, 108, 130, *135, *135, 130, 238, IberoAmerican Championships, 05.2019
110, m, 1, 1, 1, LAURET RODRIGUEZ Luis Manuel, 20.01.1997, CUB, p109, 118.05, 167, 172, 176, 176, 200, *210, 210, 210, 386, IberoAmerican Championships, 05.2019
111, m, 2, 3, 2, SALAS MANGUIS Fernando Fabricio, 10.02.1988, ECU, p109, 162.10, 165, 170, *174, 170, 195, *201, 202, 202, 372, IberoAmerican Championships, 05.2019
112, m, 3, 2, 3, COSSIO Santiago Sanchez, 03.08.1995, COL, p109, 133.00, 166, 171, 175, 175, *195, 195, *202, 195, 370, IberoAmerican Championships, 05.2019
0, W, 1, 1, 1, DALABEHERA Jhilli, 03.02.1999, IND, 45, 44.95, 67, 70, * 73, 70, 89, 92, 94, 94, 164, 2019 Commonwealth Senior Championships, 07.2019
1, W, 2, 2, 2, POWELL Hannah Louise, 12.12.1992, WAL, 45, 44.90, 60, 64, * 66, 64, 80, 84, * 86, 84, 148, 2019 Commonwealth Senior Championships, 07.2019
2, W, 3, 3, 3, WILLY Tebora, 04.01.1998, KIR, 45, 44.85, 48, * 51, 52, 52, * 62, 64, 67, 67, 119, 2019 Commonwealth Senior Championships, 07.2019
3, W, 4, 4, 4, TOUA Konio, 25.02.1999, PNG, 45, 44.95, 47, 50, * 53, 50, * 65, 65, * 70, 65, 115, 2019 Commonwealth Senior Championships, 07.2019
4, W, 5, 5, 5, IKA Daniella, 08.01.2004, NRU, 45, 44.50, 30, 35, * 39, 35, * 43, 43, 47, 47, 82, 2019 Commonwealth Senior Championships, 07.2019
5, W, 1, 1, 1, MIRABAI Chanu Saikhom, 08.08.1994, IND, 49, 48.85, * 84, 84, * 87, 84, 107, *112, *115, 107, 191, 2019 Commonwealth Senior Championships, 07.2019
6, W, 2, 3, 2, TOUA Loa Dika, 23.06.1984, PNG, 49, 48.95, 65, 70, 75, 75, 85, 93, 100, 100, 175, 2019 Commonwealth Senior Championships, 07.2019
7, W, 3, 2, 3, BRADDOCK Amanda Melissa, 10.02.1989, CAN, 49, 48.80, * 74, 74, 77, 77, * 90, 90, * 94, 90, 167, 2019 Commonwealth Senior Championships, 07.2019
8, W, 4, 5, 4, MALA Jaylyn, 06.12.2000, SOL, 49, 47.55, 47, 50, * 53, 50, 57, 63, 65, 65, 115, 2019 Commonwealth Senior Championships, 07.2019
9, W, 5, 4, 5, GAVERA Korema Marie, 18.05.2000, PNG, 49, 48.45, 48, 52, * 54, 52, 58, 62, * 65, 62, 114, 2019 Commonwealth Senior Championships, 07.2019
10, W, 1, 2, 1, BINDYA RANI DEVIS, 27.01.1999, IND, 55, 53.60, 75, 78, * 81, 78, 102, 105, *108, 105, 183, 2019 Commonwealth Senior Championships, 07.2019
11, M, 1, 1, 1, SINGH CH Rishikanta, 05.07.1998, IND, 55, 55.00, 100, 105, *109, 105, *125, 125, 130, 130, 235, 2019 Commonwealth Senior Championships, 07.2019
12, W, 2, 1, 2, MATSA Santoshi, 10.03.1994, IND, 55, 52.95, 77, 80, * 82, 80, 98, *102, 102, 102, 182, 2019 Commonwealth Senior Championships, 07.2019
13, M, 2, 2, 2, BRECHTEFELD Elson Edward, 02.03.1994, NRU, 55, 54.70, 88, * 93, 93, 93, 112, 117, 122, 122, 215, 2019 Commonwealth Senior Championships, 07.2019
14, W, 3, 3, 3, JONES Catrin Haf, 13.06.1999, WAL, 55, 53.20, 73, 75, 77, 77, 93, 96, * 98, 96, 173, 2019 Commonwealth Senior Championships, 07.2019
15, M, 3, 4, 3, NAUARI Gahuna Ian, 05.08.2002, PNG, 55, 54.65, * 80, 80, * 85, 80, *101, 101, 108, 108, 188, 2019 Commonwealth Senior Championships, 07.2019
16, W, 4, 4, 4, LIFU Mary Kini, 15.10.1994, SOL, 55, 54.45, 70, 73, * 75, 73, 86, 89, * 92, 89, 162, 2019 Commonwealth Senior Championships, 07.2019
17, M, 4, 3, 5, SHADRACK Walter, 06.10.2000, SOL, 55, 54.75, 80, * 85, * 85, 80, 100, 105, *109, 105, 185, 2019 Commonwealth Senior Championships, 07.2019
18, W, 5, 5, 5, BISAFO Elizabeth Selwyn, 15.07.1997, SOL, 55, 54.15, 65, 69, * 72, 69, * 83, 83, * 86, 83, 152, 2019 Commonwealth Senior Championships, 07.2019
19, M, 5, 5, 4, SINAKA Scofield Goava, 21.01.1998, PNG, 55, 53.90, 75, * 78, * 78, 75, *101, 101, 108, 108, 183, 2019 Commonwealth Senior Championships, 07.2019
20, W, 6, 7, 6, ROY BOGANA Naoani Konio, 27.03.2003, PNG, 55, 53.60, 50, 55, * 60, 55, 60, 65, * 70, 65, 120, 2019 Commonwealth Senior Championships, 07.2019
21, W, , 6, , PRYOR Ellie Mai, 03.10.2001, WAL, 55, 54.80, 64, * 67, * 67, 64, * 82, * 82, * 82, , 0, 2019 Commonwealth Senior Championships, 07.2019
22, M, , , 6, ERATI Kaimauri, 13.06.2004, KIR, 55, 53.80, * 60, * 60, * 60, , 70, 75, * 83, 75, 0, 2019 Commonwealth Senior Championships, 07.2019
23, W, 1, 3, 1, DAVINDER KAUR, 11.03.1995, IND, 59, 57.50, 73, 77, 80, 80, 100, 104, *108, 104, 184, 2019 Commonwealth Senior Championships, 07.2019
24, W, 2, 1, 5, TALJAARD Johanni, 19.08.1984, RSA, 59, 58.80, 80, * 83, 83, 83, 100, *103, *103, 100, 183, 2019 Commonwealth Senior Championships, 07.2019
25, W, 3, 2, 2, YAMASAKI Erika Yuriko Iris, 02.09.1987, AUS, 59, 58.80, 80, * 83, * 83, 80, 97, 100, 103, 103, 183, 2019 Commonwealth Senior Championships, 07.2019
26, W, 4, 4, 3, WINI Jenly Tegu, 09.06.1983, SOL, 59, 58.25, 75, 79, * 82, 79, 99, *102, 102, 102, 181, 2019 Commonwealth Senior Championships, 07.2019
27, W, 5, 5, 4, LEE Seen, 15.11.1982, AUS, 59, 58.55, 74, 78, * 80, 78, 90, 95, 101, 101, 179, 2019 Commonwealth Senior Championships, 07.2019
28, W, 6, 6, 7, ISAIA Sekolasitika, 11.07.2000, SAM, 59, 57.65, 65, 69, 71, 71, 85, 89, 91, 91, 162, 2019 Commonwealth Senior Championships, 07.2019
29, W, 7, 7, 6, UEPA Bernada, 07.07.2000, NRU, 59, 58.85, * 65, 65, 68, 68, 82, 87, 92, 92, 160, 2019 Commonwealth Senior Championships, 07.2019
30, W, 8, 9, 8, KATO Lusiana Tabusali, 26.02.1996, FIJ, 59, 57.90, * 62, 62, * 66, 62, 76, 78, 81, 81, 143, 2019 Commonwealth Senior Championships, 07.2019
31, W, 9, 8, 10, WANEASI Betty, 15.07.2002, SOL, 59, 58.10, 57, 62, * 65, 62, 72, 76, * 78, 76, 138, 2019 Commonwealth Senior Championships, 07.2019
